discente;faltas_unidade;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade;reprovou;desempenho_exatas;historico_reprovacao;primeira_vez_pagando;n1_std_turma;prof_c1_tx_reprovacao;professor_tx_reprovao
fe543b1d679707f728a236cb875c7c61;0.0;1242540;0.3;0.800000012;0.0;f;1.0;True;5.31615925058548;-1;0;-0.2879138371297343;-0.2174774530560776;-1.0
cc5469b6e213d69cb200e8eee047fd8f;0.0;1242540;1.7;5.0;0.0;f;1.0;True;5.31615925058548;-1;0;1.5357631636663864;-0.2174774530560776;-1.0
7dd2fa3dc6ee3344865530775c32b26f;0.0;1242540;6.7;5.80000019;0.0;f;1.0;False;5.31615925058548;-1;0;1.8831302949292277;-0.2174774530560776;-1.0
ec6e87ad0200784564051727ff0fba9a;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
b83737d51b0772e9d3bfe336cd379a55;0.0;1242540;1.0;0.600000024;0.0;f;1.0;True;5.31615925058548;-1;0;-0.37475559411002035;-0.2174774530560776;-1.0
d261555543242eb838eeb0c3e411db11;0.0;1242540;7.7;0.0;0.0;t;1.0;False;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
9d3e7c51c5efe557657526c0ab83f429;0.0;1242540;0.7;2.0;0.0;f;1.0;True;5.31615925058548;-1;0;0.2331367308045104;-0.2174774530560776;-1.0
6a8845181f80535140712a33fb8d2b37;0.0;1242540;0.2;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
ea8fb12de1e8f16810544ac2463adfe5;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
b0bd2b3d51950b31cfb492701f9d8267;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
41eba6b1c04a9167a0fa0772944abce8;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
1b8f60c2396fd8789a89466090aae467;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
cbfba41fcb1e1161222e6dd4a9019f87;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
19ea88f0e4f538c261af170ac6e7c055;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
feb0cb827e1cd2d1f47d9209cc8717d0;0.0;1242540;0.4;0.300000012;0.0;f;1.0;True;5.31615925058548;-1;0;-0.5050182426067137;-0.2174774530560776;-1.0
145ab5d4f6c036c3f808058638a6af1f;0.0;1242540;1.7;4.5;0.0;f;1.0;True;5.31615925058548;-1;0;1.3186587581894071;-0.2174774530560776;-1.0
689e717aa277bd1050da35f81377cb39;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
f31873512cfaa6de3ad0618bbfb28c46;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
b5533b213be975175ef5520dead4f32a;0.0;1242540;0.2;0.600000024;0.0;f;1.0;True;5.31615925058548;-1;0;-0.37475559411002035;-0.2174774530560776;-1.0
872e9d7d12ea203eae81a4fe5c398122;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
eda458809a3b9658fac9c27b17a3ccee;0.0;1242540;2.3;6.5;0.0;f;1.0;True;5.31615925058548;-1;0;2.1870763800973245;-0.2174774530560776;-1.0
434ed713b0f5b55e0c5ac1d68a7734f6;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
6c04abd644e53ad65c4b2946b66d6b38;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
ae3b0d0b8a90c77384728238c526cef4;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
7b3beb42e48c047ef212662ccb5a2d66;0.0;1242540;1.4;1.10000002;0.0;f;1.0;True;5.31615925058548;-1;0;-0.15765119036987624;-0.2174774530560776;-1.0
4baa48fe05d3f892439976ca2064b1ff;0.0;1242540;2.0;3.5999999;0.0;f;1.0;True;5.31615925058548;-1;0;0.9278707849099631;-0.2174774530560776;-1.0
5584d0f1cccdd9305ace4cf77c5ce5b8;0.0;1242540;0.4;0.600000024;0.0;f;1.0;True;5.31615925058548;-1;0;-0.37475559411002035;-0.2174774530560776;-1.0
59e21f6e42557157df5d985776aefd7b;0.0;1242540;0.0;0.0;0.0;f;1.0;True;5.31615925058548;-1;0;-0.635280891103407;-0.2174774530560776;-1.0
a42663d93b0b9749b6497c0dc0036b28;0.0;1242540;0.2;0.600000024;0.0;f;1.0;True;5.31615925058548;-1;0;-0.37475559411002035;-0.2174774530560776;-1.0
c189e98ec41890b1e92b5888baff7b8f;0.0;1242540;0.2;0.5;0.0;f;1.0;True;5.31615925058548;-1;0;-0.4181764856264277;-0.2174774530560776;-1.0
